Experience_Years,Job_Position,Salary,Company_Size,Year
15,Data Analyst,41460.0,1000,2022
3,Data Analyst,78084.0,100,2022
4,Data Analyst,90000.0,100,2022
5,Data Analyst,30600.0,10000,2022
4,Data Analyst,1250000.0,100,2022
18,Data Analyst,89797.0,10000,2022
1,Data Analyst,210000.0,100,2022
1,Data Analyst,5412.0,100000,2022
6,Data Analyst,934200.0,100000,2022
1,Data Analyst,30348.0,100,2022
28,Data Analyst,18000.0,10,2022
10,Data Analyst,51710.0,10000,2022
2,Data Analyst,4643.0,1000,2022
30,Data Analyst,127388.0,10,2022
8,Data Analyst,47456.0,10,2022
21,Data Analyst,70000.0,50000,2022
13,Data Analyst,73728.0,10,2022
19,Data Analyst,31992.0,10,2022
20,Data Analyst,101312.0,100,2022
6,Data Analyst,77848.0,100000,2022
30,Data Analyst,85300.0,100000,2022
20,Data Analyst,225000.0,100,2022
25,Data Analyst,42657.0,50000,2022
9,Data Analyst,65364.0,50000,2022
2,Data Analyst,1644.0,100,2022
6,Data Analyst,79983.0,100000,2022
12,Data Analyst,139284.0,1000,2022
1,Data Analyst,7738.0,1000,2022
19,Data Analyst,84924.0,100000,2022
23,Data Analyst,75384.0,100,2022
3,Data Analyst,1037508.0,50000,2022
6,Data Analyst,56538.0,100000,2022
20,Data Analyst,25596.0,10,2022
7,Data Analyst,63984.0,100,2022
20,Data Analyst,58872.0,10000,2022
27,Data Analyst,159966.0,10,2022
4,Data Analyst,63986.0,100000,2022
2,Data Analyst,49980.0,1000,2022
26,Data Analyst,77850.0,10000,2022
10,Data Analyst,145464.0,1000,2022
5,Data Analyst,59568.0,100,2022
33,Data Analyst,25596.0,1000,2022
4,Data Analyst,21312.0,100000,2022
12,Data Analyst,159966.0,100,2022
12,Data Analyst,41591.0,1000,2022
8,Data Analyst,46764.0,1000,2022
5,Data Analyst,25596.0,100,2022
24,Data Analyst,145188.0,1000,2022
4,Data Analyst,39313.0,50000,2022
10,Data Analyst,29916.0,100,2022
10,Data Analyst,23244.0,100,2022
36,Data Analyst,75725.0,100,2022
3,Data Analyst,106793.0,1000,2022
4,Data Analyst,73136.0,10000,2022
5,Data Analyst,43974.0,50000,2022
25,Data Analyst,51600.0,100000,2022
4,Data Analyst,251279.0,100,2022
10,Data Analyst,199428.0,10,2022
18,Data Analyst,34896.0,1000,2022
5,Data Analyst,5568.0,100,2022
4,Data Analyst,96180.0,100,2022
4,Data Analyst,4260.0,1000,2022
4,Data Analyst,44400.0,100,2022
3,Data Analyst,753840.0,10000,2022
20,Data Analyst,215000.0,1000,2022
14,Data Analyst,89581.0,100,2022
10,Data Analyst,75384.0,1000,2022
27,Data Analyst,76788.0,100000,2022
38,Data Analyst,37699.0,50000,2022
10,Data Analyst,30528.0,1000,2022
4,Data Analyst,30953.0,100000,2022
5,Data Analyst,15036.0,1000,2022
2,Data Analyst,46240.0,100,2022
20,Data Analyst,37392.0,10,2022
1,Data Analyst,57000.0,1000,2022
25,Data Analyst,80409.0,100000,2022
14,Data Analyst,168267.0,1000,2022
3,Data Analyst,139284.0,1000,2022
5,Data Analyst,21329.0,100,2022
29,Data Analyst,160000.0,10,2022
10,Data Analyst,53322.0,1000,2022
5,Data Analyst,57500.0,10000,2022
10,Data Analyst,52416.0,50000,2022
1,Data Analyst,61200.0,1000,2022
3,Data Analyst,95000.0,10000,2022
