,Experience_Years,Job_Position,Salary,Year
479,1,2,60000.0,2019
480,1,2,45000.0,2019
481,1,2,65000.0,2019
482,1,2,50000.0,2019
483,1,2,63000.0,2019
484,1,2,42000.0,2019
485,1,2,42000.0,2019
486,1,2,60000.0,2019
487,1,2,60000.0,2019
488,1,2,60000.0,2019
489,1,2,65000.0,2019
490,1,2,68000.0,2019
491,1,2,46300.0,2019
492,1,2,60000.0,2019
493,1,2,65000.0,2019
494,1,2,51000.0,2019
495,1,3,45000.0,2019
496,1,3,51400.0,2019
497,1,3,65000.0,2019
498,1,3,50000.0,2019
499,1,3,51400.0,2019
500,1,3,50000.0,2019
501,1,3,44500.0,2019
502,1,3,52000.0,2019
503,1,3,68000.0,2019
504,1,3,50000.0,2019
505,1,3,50000.0,2019
506,1,3,52000.0,2019
507,1,3,63000.0,2019
508,1,3,42000.0,2019
509,1,3,50000.0,2019
510,1,3,50000.0,2019
511,1,3,58000.0,2019
512,1,3,65000.0,2019
513,1,3,45000.0,2019
514,1,3,60000.0,2019
515,1,3,60000.0,2019
516,1,3,60500.0,2019
517,1,3,62000.0,2019
518,1,3,50000.0,2019
519,1,3,50000.0,2019
520,1,3,50000.0,2019
521,1,3,47040.0,2019
522,1,3,65500.0,2019
523,1,3,55000.0,2019
524,1,3,50000.0,2019
525,1,3,50000.0,2019
526,1,3,55000.0,2019
527,1,3,57408.0,2019
528,1,3,60000.0,2019
529,1,3,46500.0,2019
530,1,3,55000.0,2019
531,1,3,52000.0,2019
532,1,3,50000.0,2019
533,1,3,50000.0,2019
534,1,3,56000.0,2019
535,1,3,60000.0,2019
536,1,3,57000.0,2019
537,1,3,65000.0,2019
538,1,3,45000.0,2019
539,1,3,50000.0,2019
540,1,3,42000.0,2019
541,1,3,60000.0,2019
542,1,3,60000.0,2019
543,1,3,42000.0,2019
544,1,3,50000.0,2019
545,1,3,60000.0,2019
546,1,3,47000.0,2019
547,1,3,50000.0,2019
548,1,3,69000.0,2019
549,1,3,53500.0,2019
550,1,3,45500.0,2019
551,1,3,60000.0,2019
552,1,3,45000.0,2019
553,1,3,65000.0,2019
554,1,3,50000.0,2019
555,1,3,63000.0,2019
556,1,3,42000.0,2019
557,1,3,42000.0,2019
