YearsCodePro,DevType,ConvertedCompYearly,OrgSize,Year
15,Data Analyst,51192.0,1000-4999,2022
2,Data Analyst,828000.0,10-100,2022
5,Data Analyst,68000.0,0,2022
8,Data Analyst,250000.0,5000-9999,2022
37,Data Analyst,141542.0,2-9,2022
6,Data Analyst,83184.0,10000+,2022
4,Data Analyst,20000.0,100-1000,2022
4,Data Analyst,47990.0,1000-4999,2022
7,Data Analyst,110000.0,100-1000,2022
8,Data Analyst,77896.0,1000-4999,2022
20,Data Analyst,54659.0,10000+,2022
4,Data Analyst,37692.0,1000-4999,2022
35,Data Analyst,40205.0,100-1000,2022
1,Data Analyst,47990.0,10000+,2022
2,Data Analyst,934752.0,100-1000,2022
6,Data Analyst,150000.0,1000-4999,2022
20,Data Analyst,93701.0,10-100,2022
11,Data Analyst,77848.0,10000+,2022
4,Data Analyst,88800.0,100-1000,2022
7,Data Analyst,106644.0,1000-4999,2022
8,Data Analyst,105000.0,100-1000,2022
15,Data Analyst,572916.0,100-1000,2022
26,Data Analyst,450000.0,1,2022
1,Data Analyst,18312.0,2-9,2022
9,Data Analyst,120000.0,2-9,2022
5,Data Analyst,18192.0,2-9,2022
20,Data Analyst,93701.0,10-100,2022
6,Data Analyst,200000.0,1000-4999,2022
30,Data Analyst,180000.0,1,2022
12,Data Analyst,85315.0,10000+,2022
5,Data Analyst,130000.0,10000+,2022
Less than 1 year,Data Analyst,10704.0,10-100,2022
10,Data Analyst,142000.0,100-1000,2022
10,Data Analyst,53322.0,100-1000,2022
8,Data Analyst,149301.0,5000-9999,2022
18,Data Analyst,37932.0,100-1000,2022
32,Data Analyst,252535.0,1,2022
7,Data Analyst,35000.0,10000+,2022
24,Data Analyst,95263.0,10-100,2022
16,Data Analyst,29860.0,1000-4999,2022
13,Data Analyst,170000.0,100-1000,2022
24,Data Analyst,250000.0,10000+,2022
1,Data Analyst,70000.0,10-100,2022
10,Data Analyst,70385.0,1,2022
1,Data Analyst,13872.0,100-1000,2022
9,Data Analyst,148360.0,10000+,2022
4,Data Analyst,7512.0,10-100,2022
7,Data Analyst,103700.0,10000+,2022
15,Data Analyst,69102.0,10-100,2022
13,Data Analyst,90864.0,5000-9999,2022
6,Data Analyst,85000.0,2-9,2022
3,Data Analyst,56736.0,2-9,2022
4,Data Analyst,38392.0,1000-4999,2022
7,Data Analyst,130000.0,10000+,2022
6,Data Analyst,130000.0,100-1000,2022
7,Data Analyst,51192.0,1,2022
7,Data Analyst,24420.0,100-1000,2022
6,Data Analyst,42717.0,10000+,2022
10,Data Analyst,145000.0,1000-4999,2022
Less than 1 year,Data Analyst,63984.0,1,2022
5,Data Analyst,32000.0,1000-4999,2022
8,Data Analyst,94230.0,10-100,2022
5,Data Analyst,49856.0,10-100,2022
40,Data Analyst,130000.0,2-9,2022
3,Data Analyst,26661.0,10-100,2022
7,Data Analyst,51589.0,10000+,2022
8,Data Analyst,63986.0,100-1000,2022
6,Data Analyst,106793.0,100-1000,2022
16,Data Analyst,116000.0,100-1000,2022
12,Data Analyst,84000.0,100-1000,2022
11,Data Analyst,96000.0,100-1000,2022
14,Data Analyst,2243520.0,1000-4999,2022
22,Data Analyst,114000.0,10000+,2022
15,Data Analyst,103000.0,10-100,2022
6,Data Analyst,150000.0,10000+,2022
3,Data Analyst,36184.0,2-9,2022
7,Data Analyst,88000.0,10-100,2022
5,Data Analyst,62467.0,10-100,2022
10,Data Analyst,40956.0,10-100,2022
4,Data Analyst,42657.0,100-1000,2022
4,Data Analyst,176.0,2-9,2022
17,Data Analyst,225000.0,1,2022
2,Data Analyst,32666.0,0,2022
12,Data Analyst,65000.0,10-100,2022
8,Data Analyst,25596.0,2-9,2022
3,Data Analyst,10800.0,10-100,2022
9,Data Analyst,111000.0,100-1000,2022
25,Data Analyst,234252.0,1,2022
23,Data Analyst,149000.0,10000+,2022
6,Data Analyst,44790.0,1000-4999,2022
12,Data Analyst,150000.0,5000-9999,2022
7,Data Analyst,188292.0,100-1000,2022
2,Data Analyst,3450000.0,10000+,2022
9,Data Analyst,290000.0,10-100,2022
10,Data Analyst,83182.0,10000+,2022
5,Data Analyst,120000.0,100-1000,2022
25,Data Analyst,85315.0,2-9,2022
1,Data Analyst,87000.0,100-1000,2022
16,Data Analyst,300000.0,10000+,2022
15,Data Analyst,90224.0,1000-4999,2022
20,Data Analyst,140000.0,2-9,2022
15,Data Analyst,85000.0,1000-4999,2022
7,Data Analyst,162714.0,10000+,2022
10,Data Analyst,100000.0,100-1000,2022
5,Data Analyst,47990.0,1,2022
20,Data Analyst,215000.0,10-100,2022
12,Data Analyst,71837.0,10-100,2022
2,Data Analyst,70000.0,1000-4999,2022
7,Data Analyst,39036.0,5000-9999,2022
30,Data Analyst,102372.0,10000+,2022
32,Data Analyst,5000000.0,100-1000,2022
2,Data Analyst,75000.0,10000+,2022
25,Data Analyst,83184.0,10-100,2022
11,Data Analyst,80000.0,2-9,2022
11,Data Analyst,44796.0,1000-4999,2022
4,Data Analyst,21684.0,10-100,2022
17,Data Analyst,135000.0,10-100,2022
Less than 1 year,Data Analyst,12468.0,10-100,2022
3,Data Analyst,20400.0,2-9,2022
18,Data Analyst,29136.0,10-100,2022
19,Data Analyst,69318.0,10-100,2022
4,Data Analyst,55455.0,100-1000,2022
5,Data Analyst,780000.0,10000+,2022
20,Data Analyst,98628.0,2-9,2022
8,Data Analyst,85000.0,100-1000,2022
Less than 1 year,Data Analyst,7093.0,10000+,2022
6,Data Analyst,45000.0,100-1000,2022
24,Data Analyst,350000.0,10-100,2022
17,Data Analyst,76783.0,1000-4999,2022
14,Data Analyst,95000.0,2-9,2022
1,Data Analyst,85000.0,10000+,2022
8,Data Analyst,44796.0,10-100,2022
23,Data Analyst,34896.0,10-100,2022
3,Data Analyst,840.0,100-1000,2022
8,Data Analyst,16368.0,1000-4999,2022
3,Data Analyst,10104.0,10-100,2022
17,Data Analyst,127972.0,10000+,2022
22,Data Analyst,1500.0,10-100,2022
13,Data Analyst,68000.0,10-100,2022
14,Data Analyst,66240.0,10-100,2022
5,Data Analyst,37932.0,100-1000,2022
19,Data Analyst,83550.0,100-1000,2022
8,Data Analyst,140000.0,10-100,2022
2,Data Analyst,36468.0,1,2022
4,Data Analyst,14448.0,10000+,2022
35,Data Analyst,125000.0,10000+,2022
31,Data Analyst,70771.0,100-1000,2022
2,Data Analyst,60000.0,10-100,2022
3,Data Analyst,87000.0,5000-9999,2022
1,Data Analyst,90550.0,10000+,2022
