YearsCodedJob,DeveloperType,Salary,CompanySize,Year
2,Data Scientist,691.358024691358,10-100,2017
3,Data Scientist,6369.42675159236,10-100,2017
5,Data Scientist,10000.0,10-100,2017
13,Data Scientist,112200.0,10000+,2017
8,Data Scientist,110000.0,10-100,2017
10,Data Scientist,64516.1290322581,10-100,2017
5,Data Scientist,107000.0,100-1000,2017
10,Data Scientist,25000.0,10-100,2017
4,Data Scientist,125000.0,10000+,2017
4,Data Scientist,9186.6028708134,100-1000,2017
4,Data Scientist,108000.0,100-1000,2017
4,Data Scientist,13740.4580152672,10-100,2017
15,Data Scientist,160000.0,10-100,2017
1,Data Scientist,53000.0,100-1000,2017
4,Data Scientist,5267.17557251908,100-1000,2017
6,Data Scientist,33000.0,10-100,2017
2,Data Scientist,43010.752688172,10-100,2017
5,Data Scientist,37634.4086021505,10-100,2017
1,Data Scientist,48387.0967741935,100-1000,2017
3,Data Scientist,3821.65605095541,2-9,2017
6,Data Scientist,37878.7878787879,10-100,2017
4,Data Scientist,81250.0,100-1000,2017
2,Data Scientist,1908.67713992072,1000-4999,2017
7,Data Scientist,173300.0,100-1000,2017
11,Data Scientist,80000.0,100-1000,2017
8,Data Scientist,135000.0,100-1000,2017
14,Data Scientist,75000.0,2-9,2017
2,Data Scientist,124000.0,100-1000,2017
2,Data Scientist,22222.2222222222,5000-9999,2017
14,Data Scientist,117000.0,100-1000,2017
2,Data Scientist,9876.54320987654,2-9,2017
6,Data Scientist,52500.0,10-100,2017
18,Data Scientist,70000.0,100-1000,2017
2,Data Scientist,60000.0,10-100,2017
6,Data Scientist,47770.7006369427,5000-9999,2017
20,Data Scientist,80000.0,2-9,2017
10,Data Scientist,110000.0,100-1000,2017
7,Data Scientist,150000.0,100-1000,2017
9,Data Scientist,50537.6344086021,1000-4999,2017
6,Data Scientist,130000.0,10000+,2017
6,Data Scientist,110000.0,10000+,2017
14,Data Scientist,155000.0,100-1000,2017
2,Data Scientist,29629.6296296296,2-9,2017
20,Data Scientist,145000.0,10-100,2017
2,Data Scientist,53571.4285714286,2-9,2017
20,Data Scientist,115000.0,10-100,2017
20,Data Scientist,188000.0,10000+,2017
17,Data Scientist,77419.3548387097,100-1000,2017
8,Data Scientist,88000.0,100-1000,2017
3,Data Scientist,58000.0,10-100,2017
20,Data Scientist,145600.0,10-100,2017
18,Data Scientist,65158.371040724,1000-4999,2017
9,Data Scientist,105000.0,10-100,2017
4,Data Scientist,111000.0,10000+,2017
2,Data Scientist,53030.303030303,10-100,2017
10,Data Scientist,26881.7204301075,100-1000,2017
