YearsCodingProf,DevType,ConvertedSalary,CompanySize,Year
8,Data Analyst,26466.0,100-1000,2018
8,Data Analyst,190000.0,100-1000,2018
5,Data Analyst,62507.0,10-100,2018
5,Data Analyst,85705.0,100-1000,2018
5,Data Analyst,12720.0,1000-4999,2018
11,Data Analyst,16092.0,10-100,2018
5,Data Analyst,8376.0,10-100,2018
2,Data Analyst,28800.0,10-100,2018
2,Data Analyst,5772.0,10-100,2018
5,Data Analyst,45000.0,10-100,2018
8,Data Analyst,51983.0,100-1000,2018
8,Data Analyst,58000.0,5000-9999,2018
2,Data Analyst,26196.0,1000-4999,2018
8,Data Analyst,74000.0,100-1000,2018
5,Data Analyst,120000.0,10-100,2018
2,Data Analyst,5376.0,10-100,2018
20,Data Analyst,93066.0,10-100,2018
2,Data Analyst,60000.0,1000-4999,2018
5,Data Analyst,759747.0,100-1000,2018
8,Data Analyst,87971.0,10-100,2018
11,Data Analyst,68063.0,1000-4999,2018
23,Data Analyst,127523.0,Fewer than 10 employees,2018
11,Data Analyst,12000.0,1000-4999,2018
30,Data Analyst,92000.0,100-1000,2018
17,Data Analyst,71536.0,100-1000,2018
5,Data Analyst,63979.0,5000-9999,2018
23,Data Analyst,39858.0,Fewer than 10 employees,2018
5,Data Analyst,75000.0,10-100,2018
5,Data Analyst,14292.0,10-100,2018
11,Data Analyst,48348.0,1000-4999,2018
11,Data Analyst,90000.0,10000+,2018
5,Data Analyst,82000.0,10-100,2018
5,Data Analyst,566724.0,10-100,2018
5,Data Analyst,6768.0,10-100,2018
5,Data Analyst,60000.0,10-100,2018
11,Data Analyst,73433.0,Fewer than 10 employees,2018
5,Data Analyst,39164.0,100-1000,2018
5,Data Analyst,75000.0,10-100,2018
8,Data Analyst,40000.0,10-100,2018
23,Data Analyst,2775.0,10-100,2018
23,Data Analyst,83172.0,Fewer than 10 employees,2018
14,Data Analyst,42836.0,10-100,2018
2,Data Analyst,0.0,5000-9999,2018
8,Data Analyst,39552.0,1000-4999,2018
29,Data Analyst,52452.0,100-1000,2018
5,Data Analyst,2688.0,Fewer than 10 employees,2018
5,Data Analyst,21756.0,Fewer than 10 employees,2018
5,Data Analyst,71000.0,10-100,2018
2,Data Analyst,21144.0,10-100,2018
20,Data Analyst,145000.0,10-100,2018
5,Data Analyst,58340.0,10-100,2018
17,Data Analyst,38184.0,Fewer than 10 employees,2018
11,Data Analyst,26196.0,100-1000,2018
2,Data Analyst,22248.0,5000-9999,2018
5,Data Analyst,42836.0,10-100,2018
5,Data Analyst,90000.0,Fewer than 10 employees,2018
23,Data Analyst,117000.0,1000-4999,2018
11,Data Analyst,17628.0,Fewer than 10 employees,2018
8,Data Analyst,87509.0,Fewer than 10 employees,2018
5,Data Analyst,58340.0,5000-9999,2018
8,Data Analyst,65786.0,10000+,2018
14,Data Analyst,58752.0,10-100,2018
2,Data Analyst,30598.0,10-100,2018
8,Data Analyst,27900.0,100-1000,2018
20,Data Analyst,95968.0,1000-4999,2018
5,Data Analyst,33337.0,1000-4999,2018
2,Data Analyst,499344.0,1000-4999,2018
5,Data Analyst,80000.0,10000+,2018
8,Data Analyst,58752.0,100-1000,2018
8,Data Analyst,33780.0,10-100,2018
5,Data Analyst,67056.0,10-100,2018
2,Data Analyst,4704.0,10-100,2018
14,Data Analyst,83000.0,100-1000,2018
8,Data Analyst,56365.0,1000-4999,2018
8,Data Analyst,63979.0,10-100,2018
11,Data Analyst,14172.0,1000-4999,2018
2,Data Analyst,63000.0,1000-4999,2018
8,Data Analyst,26925.0,10-100,2018
2,Data Analyst,53076.0,10000+,2018
29,Data Analyst,112000.0,10000+,2018
5,Data Analyst,18792.0,10-100,2018
5,Data Analyst,70000.0,100-1000,2018
2,Data Analyst,11604.0,100-1000,2018
8,Data Analyst,75000.0,10-100,2018
2,Data Analyst,29120.0,100-1000,2018
2,Data Analyst,5796.0,100-1000,2018
2,Data Analyst,3756.0,100-1000,2018
14,Data Analyst,72469.0,100-1000,2018
2,Data Analyst,42366.0,10000+,2018
8,Data Analyst,92000.0,10-100,2018
17,Data Analyst,92500.0,5000-9999,2018
5,Data Analyst,36000.0,100-1000,2018
2,Data Analyst,29736.0,Fewer than 10 employees,2018
5,Data Analyst,60420.0,1000-4999,2018
8,Data Analyst,10200.0,10-100,2018
11,Data Analyst,8328.0,10-100,2018
5,Data Analyst,10620.0,10000+,2018
20,Data Analyst,85000.0,10000+,2018
23,Data Analyst,166685.0,10-100,2018
11,Data Analyst,22452.0,Fewer than 10 employees,2018
2,Data Analyst,16860.0,100-1000,2018
5,Data Analyst,59729.0,10000+,2018
2,Data Analyst,41856.0,10000+,2018
11,Data Analyst,88629.0,Fewer than 10 employees,2018
26,Data Analyst,34752.0,10-100,2018
8,Data Analyst,73619.0,100-1000,2018
5,Data Analyst,32316.0,5000-9999,2018
2,Data Analyst,1000000.0,100-1000,2018
5,Data Analyst,187848.0,100-1000,2018
29,Data Analyst,69452.0,Fewer than 10 employees,2018
8,Data Analyst,76000.0,10000+,2018
11,Data Analyst,113022.0,100-1000,2018
2,Data Analyst,8124.0,Fewer than 10 employees,2018
2,Data Analyst,29376.0,1000-4999,2018
20,Data Analyst,97000.0,1000-4999,2018
5,Data Analyst,80000.0,10000+,2018
11,Data Analyst,1356000.0,10000+,2018
17,Data Analyst,100000.0,10000+,2018
11,Data Analyst,23352.0,10000+,2018
2,Data Analyst,19656.0,100-1000,2018
8,Data Analyst,54000.0,10-100,2018
5,Data Analyst,780000.0,10-100,2018
5,Data Analyst,70000.0,10000+,2018
2,Data Analyst,51403.0,10-100,2018
17,Data Analyst,12252.0,10-100,2018
5,Data Analyst,52442.0,10-100,2018
2,Data Analyst,23988.0,1000-4999,2018
8,Data Analyst,6000.0,Fewer than 10 employees,2018
14,Data Analyst,35292.0,100-1000,2018
2,Data Analyst,33045.0,5000-9999,2018
30,Data Analyst,49000.0,Fewer than 10 employees,2018
8,Data Analyst,44064.0,Fewer than 10 employees,2018
5,Data Analyst,76600.0,100-1000,2018
2,Data Analyst,19104.0,1000-4999,2018
5,Data Analyst,100000.0,10000+,2018
8,Data Analyst,54792.0,10-100,2018
8,Data Analyst,85000.0,100-1000,2018
5,Data Analyst,52000.0,10000+,2018
5,Data Analyst,48468.0,10-100,2018
20,Data Analyst,30840.0,100-1000,2018
11,Data Analyst,55562.0,100-1000,2018
11,Data Analyst,79000.0,100-1000,2018
