,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
179,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
180,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
181,2022,SE,FT,Data Analyst,132000,USD,132000,US,0,US,M
182,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
183,2022,SE,FT,Data Architect,208775,USD,208775,US,100,US,M
184,2022,SE,FT,Data Architect,147800,USD,147800,US,100,US,M
185,2022,SE,FT,Data Engineer,136994,USD,136994,US,100,US,M
186,2022,SE,FT,Data Engineer,101570,USD,101570,US,100,US,M
187,2022,SE,FT,Data Analyst,128875,USD,128875,US,100,US,M
188,2022,SE,FT,Data Analyst,93700,USD,93700,US,100,US,M
189,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
190,2022,SE,FT,Data Analyst,164000,USD,164000,US,0,US,M
191,2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
192,2022,MI,FT,AI Scientist,120000,USD,120000,US,0,US,M
193,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
194,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
195,2022,SE,FT,Data Analytics Manager,145000,USD,145000,US,100,US,M
196,2022,SE,FT,Data Analytics Manager,105400,USD,105400,US,100,US,M
197,2022,SE,FT,Data Scientist,215300,USD,215300,US,100,US,L
198,2022,SE,FT,Data Scientist,158200,USD,158200,US,100,US,L
199,2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
200,2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
201,2022,SE,FT,Data Analyst,115934,USD,115934,US,0,US,M
202,2022,SE,FT,Data Analyst,81666,USD,81666,US,0,US,M
203,2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
204,2022,MI,FT,Data Analyst,58000,USD,58000,US,0,US,S
205,2022,SE,FT,Data Engineer,183600,USD,183600,US,100,US,L
206,2022,SE,FT,Data Scientist,180000,USD,180000,US,100,US,M
207,2022,SE,FT,Data Scientist,260000,USD,260000,US,100,US,M
208,2022,MI,FT,Data Engineer,63900,USD,63900,US,0,US,M
209,2022,MI,FT,Machine Learning Scientist,160000,USD,160000,US,100,US,L
210,2022,MI,FT,Machine Learning Scientist,112300,USD,112300,US,100,US,L
211,2022,MI,FT,Data Science Manager,241000,USD,241000,US,100,US,M
212,2022,MI,FT,Data Science Manager,159000,USD,159000,US,100,US,M
213,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M
214,2022,SE,FT,Data Scientist,80000,USD,80000,US,0,US,M
215,2022,MI,FT,Data Engineer,82900,USD,82900,US,0,US,M
216,2022,SE,FT,Data Engineer,100800,USD,100800,US,100,US,L
217,2022,SE,FT,Data Scientist,140400,USD,140400,US,0,US,L
218,2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
219,2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
220,2022,SE,FT,Data Scientist,215300,USD,215300,US,0,US,L
221,2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
222,2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
223,2022,SE,FT,Data Engineer,180000,USD,180000,US,100,US,M
224,2022,SE,FT,Data Engineer,80000,USD,80000,US,100,US,M
225,2022,MI,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,S
226,2022,EN,FT,Computer Vision Engineer,125000,USD,125000,US,0,US,M
227,2022,MI,FT,NLP Engineer,240000,CNY,37236,US,50,US,L
228,2022,SE,FT,Data Engineer,105000,USD,105000,US,100,US,M
229,2022,EN,FT,Financial Data Analyst,100000,USD,100000,US,50,US,L
230,2022,EN,FT,Data Engineer,120000,USD,120000,US,100,US,M
231,2022,SE,FT,Research Scientist,144000,USD,144000,US,50,US,L
232,2022,SE,FT,Data Scientist,104890,USD,104890,US,100,US,M
233,2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
234,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
235,2022,MI,FT,Data Analyst,135000,USD,135000,US,100,US,M
236,2022,MI,FT,Data Analyst,50000,USD,50000,US,100,US,M
237,2022,SE,FT,Data Scientist,220000,USD,220000,US,100,US,M
238,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
239,2022,SE,FT,Data Scientist,185100,USD,185100,US,100,US,M
240,2022,SE,FT,Machine Learning Engineer,220000,USD,220000,US,100,US,M
241,2022,MI,FT,Data Scientist,200000,USD,200000,US,100,US,M
242,2022,MI,FT,Data Scientist,120000,USD,120000,US,100,US,M
243,2022,EX,FT,Data Engineer,324000,USD,324000,US,100,US,M
244,2022,EX,FT,Data Engineer,216000,USD,216000,US,100,US,M
245,2022,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
246,2022,SE,FT,Machine Learning Engineer,120000,USD,120000,US,100,US,M
247,2022,SE,FT,Data Scientist,230000,USD,230000,US,100,US,M
248,2022,MI,FT,Machine Learning Scientist,153000,USD,153000,US,50,US,M
249,2022,SE,FT,Data Scientist,165000,USD,165000,US,100,US,M
250,2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M
251,2022,EN,FT,Research Scientist,120000,USD,120000,US,100,US,L
252,2022,MI,FT,Applied Data Scientist,157000,USD,157000,US,100,US,L
253,2022,EN,FT,Data Engineer,65000,USD,65000,US,100,US,S
254,2022,SE,FT,Data Science Manager,152500,USD,152500,US,100,US,M
255,2022,SE,FT,Applied Data Scientist,380000,USD,380000,US,100,US,L
256,2022,SE,FT,Data Analytics Lead,405000,USD,405000,US,100,US,L
257,2022,MI,FT,Data Scientist,135000,USD,135000,US,100,US,L
258,2022,SE,FT,Applied Data Scientist,177000,USD,177000,US,100,US,L
259,2022,MI,FT,Data Scientist,78000,USD,78000,US,100,US,M
260,2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
261,2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
262,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
263,2022,SE,FT,Machine Learning Engineer,214000,USD,214000,US,100,US,M
264,2022,SE,FT,Machine Learning Engineer,192600,USD,192600,US,100,US,M
265,2022,SE,FT,Data Architect,266400,USD,266400,US,100,US,M
266,2022,SE,FT,Data Architect,213120,USD,213120,US,100,US,M
267,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
268,2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
269,2022,MI,FT,Data Scientist,141300,USD,141300,US,0,US,M
270,2022,MI,FT,Data Scientist,102100,USD,102100,US,0,US,M
271,2022,SE,FT,Data Analyst,115934,USD,115934,US,100,US,M
272,2022,SE,FT,Data Analyst,81666,USD,81666,US,100,US,M
273,2022,MI,FT,Data Engineer,206699,USD,206699,US,0,US,M
274,2022,MI,FT,Data Engineer,99100,USD,99100,US,0,US,M
275,2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
276,2022,SE,FT,Data Engineer,115000,USD,115000,US,100,US,M
277,2022,SE,FT,Data Engineer,110500,USD,110500,US,100,US,M
278,2022,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M
279,2022,SE,FT,Data Analyst,99050,USD,99050,US,100,US,M
280,2022,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
